continent,date,total_cases,new_cases,total_deaths,new_deaths,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,stringency_index,population_density,median_age,gdp_per_capita,population,month,year
Europe,2022-05-31,194976875.51612902,5525943.0,1837525.3548387096,21307.0,1246333253.5509467,485259510.3758739,472031490.32927865,292048874.38381946,6817323.0,16.259032258064515,636.4584468085106,42.07,33935.36919512195,745629155.0,5,2022
Europe,2022-06-30,200121169.66666666,6716010.0,1853437.4000000001,13723.0,1240267457.362098,487023197.1023685,474256730.64243793,296717447.3871691,5185430.0,14.706937984496124,636.4584468085106,42.07,33935.36919512195,745629155.0,6,2022
Europe,2022-07-31,210637760.06451613,11887591.0,1872326.6774193547,25807.0,1222364671.1052237,484581362.71650606,463011996.6354559,301106344.28621703,7377369.0,14.28867216804201,636.4584468085106,42.07,33935.36919512195,745629155.0,7,2022
Europe,2022-08-31,219150115.32258064,5887252.0,1899275.3870967743,23700.0,1224548984.7185013,475336830.995054,453703819.940363,314355886.0587272,6230015.0,13.447576894223555,636.4584468085106,42.07,33935.36919512195,745629155.0,8,2022
Europe,2022-09-30,224419055.83333334,5666611.0,1917471.8,15251.0,1234305612.1397374,483167148.0451195,461260805.96527755,321211253.7365353,6884477.0,12.90075968992248,636.4584468085106,42.07,33935.36919512195,745629155.0,9,2022
Europe,2022-10-31,231508825.83870968,7194724.0,1937355.4193548388,24338.0,1057477497.7402803,415916917.9070047,397580523.6253502,280408965.2125063,8565602.0,12.480705176294073,636.4584468085106,42.07,33935.36919512195,745629155.0,10,2022
Europe,2022-11-30,236565228.56666666,3846649.0,1958809.9333333333,17682.0,1075346338.6234326,418045608.31939214,399355890.0501049,289545831.6132626,5374210.0,11.779883720930231,636.4584468085106,42.07,33935.36919512195,745629155.0,11,2022
Europe,2022-12-31,240960659.93548387,4469315.0,1977884.7419354839,23000.0,1092866934.2381082,415591957.23439634,396745809.53190064,291959632.9319908,3674471.0,11.212460615153788,636.4584468085106,42.07,33935.36919512195,745629155.0,12,2022
Europe,2023-01-31,243975567.48387095,1715141.0,2001029.5161290322,18826.0,1080477947.7150707,408788052.3403764,390423836.3938813,290797642.05834305,1686423.0,,636.4584468085106,42.07,33935.36919512195,745629155.0,1,2023
Europe,2023-02-28,245418817.85714287,1512156.0,2014145.0357142857,9976.0,1062421852.3354373,409914272.8280509,383936350.11216193,286345865.61296993,482003.0,,636.4584468085106,42.07,33935.36919512195,745629155.0,2,2023
Europe,2023-03-31,246394092.57142857,309874.0,2019646.4285714286,1311.0,842465758.3404763,319758644.8952381,306256395.8452381,223952390.77619046,40114.0,,636.4584468085106,42.07,33935.36919512195,745629155.0,3,2023
North America,2020-01-31,6.75,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1878571428571427,279.97635294117646,33.974074074074075,21655.243703703705,600323657.0,1,2020
North America,2020-02-29,38.0301724137931,80.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.689720853858786,279.97635294117646,33.974074074074075,21655.243703703705,600323657.0,2,2020
North America,2020-03-31,34702.05062963878,185372.0,568.9000134274328,3528.0,0.0,0.0,0.0,0.0,0.0,38.342580645161284,279.97635294117646,33.974074074074075,21655.243703703705,600323657.0,3,2020
North America,2020-04-30,664407.3310344828,943402.0,33663.335091382876,64591.0,0.0,0.0,0.0,0.0,0.0,81.95292063492063,279.97635294117646,33.974074074074075,21655.243703703705,600323657.0,4,2020
North America,2020-05-31,1613647.3548387098,916597.0,104408.90322580644,65337.0,0.0,0.0,0.0,0.0,0.0,81.19333333333333,279.97635294117646,33.974074074074075,21655.243703703705,600323657.0,5,2020
North America,2020-06-30,2523473.6999999997,1056153.0,157651.46666666667,46486.0,0.0,0.0,0.0,0.0,0.0,73.66679365079365,279.97635294117646,33.974074074074075,21655.243703703705,600323657.0,6,2020
North America,2020-07-31,4222454.258064517,2265848.0,207388.09677419355,56589.0,0.0,0.0,0.0,0.0,0.0,64.84869431643625,279.97635294117646,33.974074074074075,21655.243703703705,600323657.0,7,2020
North America,2020-08-31,6382739.129032258,1864417.0,266430.16129032255,54839.0,0.0,0.0,0.0,0.0,0.0,63.79202764976958,279.97635294117646,33.974074074074075,21655.243703703705,600323657.0,8,2020
North America,2020-09-30,8001589.1,1511367.0,311609.1,37583.0,0.0,0.0,0.0,0.0,0.0,61.376777777777775,279.97635294117646,33.974074074074075,21655.243703703705,600323657.0,9,2020
North America,2020-10-31,9763243.741935484,2203391.0,348198.2903225806,39288.0,0.0,0.0,0.0,0.0,0.0,56.14448540706605,279.97635294117646,33.974074074074075,21655.243703703705,600323657.0,10,2020
North America,2020-11-30,13244562.933333335,4857625.0,396769.7166666667,61041.0,0.0,0.0,0.0,0.0,0.0,54.91925396825396,279.97635294117646,33.974074074074075,21655.243703703705,600323657.0,11,2020
North America,2020-12-31,19371683.0,6891939.0,482051.99999999994,106786.0,2240606.612865497,2182157.785380117,21114.615789473683,0.0,5780164.0,55.627695852534565,279.97635294117646,33.974074074074075,21655.243703703705,600323657.0,12,2020
North America,2021-01-31,26677662.83870968,7177913.0,610122.4150537634,147123.0,20732876.40829493,17407862.873963133,2965382.2346616066,0.0,33836329.0,59.13549923195084,279.97635294117646,33.974074074074075,21655.243703703705,600323657.0,1,2021
North America,2021-02-28,31564532.857142854,2908525.0,738415.5714285715,97801.0,66308208.630343676,45862599.36841737,19180053.588860027,14.864444444444445,52968321.0,59.718639455782316,279.97635294117646,33.974074074074075,21655.2437037037,600323657.0,2,2021
North America,2021-03-31,33891424.41935484,2170778.0,809771.7096774194,50192.0,139378934.09109885,90690067.07490239,48372829.444675416,41.96774193548387,94268186.0,58.23674347158218,279.97635294117646,33.974074074074075,21655.243703703705,600323657.0,3,2021
North America,2021-04-30,36209730.6,2351773.0,848492.6,32611.0,248499517.64958438,156637650.9258873,96896616.41434836,131.7,108255128.0,57.47615873015874,279.97635294117646,33.974074074074075,21655.243703703705,600323657.0,4,2021
North America,2021-05-31,38156332.451612905,1461907.0,878584.9354838709,27097.0,345334753.9568725,204209932.61205834,148864474.3330688,358.96774193548384,73416766.0,56.937434715821816,279.97635294117646,33.974074074074075,21655.243703703705,600323657.0,5,2021
North America,2021-06-30,39159262.03333333,760967.0,900013.1166666666,17108.0,417382648.9050329,242731784.1201045,184929608.11439544,963.5333333333333,62992930.0,55.78628571428571,279.97635294117646,33.974074074074075,21655.243703703705,600323657.0,6,2021
North America,2021-07-31,40423947.29032259,2181465.0,917945.3870967742,22359.0,477062888.5100795,270166632.7106498,217645131.63214773,187825.95105672968,56093192.0,53.35715821812596,279.97635294117646,33.974074074074075,21655.243703703705,600323657.0,7,2021
North America,2021-08-31,44276921.77419355,5315251.0,958356.9181141439,61924.0,541603064.0216194,307893254.35128653,243963535.7029494,1027976.3870967742,55059060.0,55.92231950844854,279.97635294117646,33.974074074074075,21655.243703703705,600323657.0,8,2021
North America,2021-09-30,49863416.06666666,5123035.0,1034360.6666666667,80767.0,601690899.7807214,334677216.23658395,275142824.6073817,4059144.966666667,49892592.0,56.47500000000001,279.97635294117646,33.974074074074075,21655.243703703705,600323657.0,9,2021
North America,2021-10-31,53892938.70967741,3147277.0,1107971.6129032257,63882.0,661941278.7292145,355222855.8211941,301624186.03465605,15452693.261751153,57530919.0,54.90347158218126,279.97635294117646,33.974074074074075,21655.243703703705,600323657.0,10,2021
North America,2021-11-30,56651113.133333325,2717301.0,1157752.3666666667,38991.0,732899863.1984324,376970951.7843514,326404662.4944588,40158384.89507389,51516940.0,51.021,279.97635294117646,33.974074074074075,21655.243703703705,600323657.0,11,2021
North America,2021-12-31,60380358.806451604,6060506.0,1200502.1612903227,48981.0,804170635.4293318,398073959.301929,343054966.0048773,73767008.37956756,67720219.0,48.293671274961596,279.97635294117646,33.974074074074075,21655.243703703705,600323657.0,12,2021
